SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
1,33079340000.0,126999410000.0,178552340000.0,4.8531237,69.76652,649.49384,238.48929,338871120000.0,1.744,1.3367856
2,71305265000.0,11419859000.0,299199370000.0,34.36882,11.009184,156.03806,98.921074,381938930000.0,1.744,4.123751
4,25591314000.0,11701343000.0,156341900000.0,16.944952,11.030016,190.66818,98.363174,193665740000.0,1.744,1.7046713
5,25571578000.0,7448235000.0,167224560000.0,19.213814,6.2310967,155.7445,89.18087,200256520000.0,1.744,2.1225796
7,4603033000.0,8444960300.0,91387675000.0,11.377967,2.972598,148.97855,89.56195,104450920000.0,1.744,2.24463
9,9490192000.0,1092885100.0,77032050000.0,16.714987,0.96876454,106.60918,64.24943,87617860000.0,1.744,1.957537
13,5890270700.0,4016729300.0,22428678000.0,4.3880153,5.112119,127.92157,77.50773,32343950000.0,1.744,1.6115493
15,5252990000.0,1202726900.0,36570132000.0,9.446777,1.1023697,99.26038,59.52399,43029365000.0,1.744,2.5186634
25,850462700.0,201040850.0,12713970000.0,6.4403462,0.28193036,67.91971,43.086765,13765473000.0,1.744,2.477138
28,1657428200.0,307478900.0,4497533000.0,3.3302302,0.61431,65.597466,41.925583,6462440000.0,1.744,1.5547589
8858,99909120000.0,66015162000.0,781524860000.0,34.136703,56.892944,357.2344,154.97029,947562400000.0,1.744,3.4530668
8859,20777669000.0,50051290000.0,243404470000.0,11.969795,26.244555,346.33328,155.83984,314336500000.0,1.744,1.3037887
8860,31757515000.0,45510790000.0,186695250000.0,8.214048,29.94381,319.0759,158.82819,264076050000.0,1.744,2.2357323
8861,24068805000.0,18275985000.0,225968820000.0,15.880058,16.823456,199.27074,113.630424,268334400000.0,1.744,4.4449873
8862,18204500000.0,18661456000.0,177275490000.0,16.069675,7.1594753,272.0856,108.730675,214200480000.0,1.744,0.8498593
8864,26661081000.0,3309834000.0,122221100000.0,17.401596,3.4572158,137.32657,78.77589,152197230000.0,1.744,3.748088
8865,19678755000.0,13893746000.0,67716633000.0,7.245356,9.170517,178.65265,108.94098,101311850000.0,1.744,5.7525826
8867,11942118000.0,9062106000.0,91789240000.0,10.190522,8.23201,165.55186,96.08144,112812860000.0,1.744,2.0337818
8868,11806222000.0,1600868600.0,75843230000.0,18.975555,0.92794293,101.445076,59.155743,89253850000.0,1.744,2.840764
8870,5316703700.0,4969458700.0,38120583000.0,8.148071,1.7772789,114.13723,63.608047,48417313000.0,1.744,2.7840965
8871,6189381000.0,2499463700.0,47307583000.0,8.227971,6.0111027,122.865326,77.00295,56003250000.0,1.744,1.733031
8872,8346950700.0,986316100.0,39103853000.0,10.017168,1.6728543,102.12601,59.477825,48439325000.0,1.744,3.5493948
8873,4523879000.0,2122711800.0,45550227000.0,10.077694,1.86982,108.33955,63.602016,52203377000.0,1.744,1.6715142
8874,1767802500.0,3171516200.0,35956216000.0,12.936027,0.90741116,118.76056,53.62253,40904050000.0,1.744,1.0435374
8876,3676991700.0,2276580000.0,25017754000.0,6.999533,1.726541,97.91243,59.84134,30976252000.0,1.744,2.4320316
8877,4632420000.0,2528522800.0,16240939000.0,4.6524477,1.9040283,104.22668,64.72038,23407790000.0,1.744,1.4292023
8880,775613900.0,2495860700.0,9676592000.0,3.0337803,0.78238535,101.37317,57.787308,12958155000.0,1.744,1.3892937
8882,2114333700.0,187198720.0,17241450000.0,9.151045,0.18926401,67.795746,42.009064,19542980000.0,1.744,1.8103254
8891,493885340.0,267105870.0,13099200000.0,6.7115593,0.20846501,69.164246,40.376774,13860192000.0,1.744,1.1428993
19217,16500455000.0,110075900000.0,61795700000.0,1.613408,63.794716,592.52264,266.47864,188618230000.0,1.744,0.8853544
19218,14584106000.0,46953214000.0,131688050000.0,7.9321966,10.497569,364.51752,139.21399,193320320000.0,1.744,1.5373986
19219,20930652000.0,12680631000.0,184922470000.0,18.442749,5.82145,193.07574,95.204994,218568500000.0,1.744,1.4090927
19220,24107550000.0,4186444000.0,116364580000.0,21.469507,3.5496037,125.63996,76.94763,144665760000.0,1.744,4.290143
19222,14258207000.0,3928766700.0,66756060000.0,11.150736,3.262769,129.18118,75.51197,84951540000.0,1.744,3.3426352
19223,12447388000.0,1749125100.0,75918550000.0,19.161255,0.9442595,102.24625,59.531372,90118720000.0,1.744,3.3606806
