SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
1,243947400000.0,98400660000.0,1443751700000.0,35.29238,177.5483,607.3764,228.33707,1786243400000.0,2.577,1.2857345
2,21854392000.0,19109796000.0,97343545000.0,7.0968266,10.407743,209.31804,113.94124,138330550000.0,2.577,3.0660717
3,17288247000.0,5861092000.0,107198915000.0,11.558949,5.7875104,157.6996,92.27102,130355180000.0,2.577,2.5046284
4,14788403000.0,1872313100.0,113729230000.0,17.709454,3.6180537,125.972084,77.2448,130393700000.0,2.577,2.2371027
5,14988557000.0,1564744000.0,79118830000.0,15.017376,1.5562259,117.77721,67.53579,95674650000.0,2.577,2.0167165
6,7987344400.0,7283141600.0,23544439000.0,3.0662427,12.950229,168.58257,102.25008,38825288000.0,2.577,2.4818182
7,6230963000.0,682742460.0,55317570000.0,12.775466,1.6802453,102.97001,68.36444,62233840000.0,2.577,2.0260384
8,5590276600.0,587341900.0,49374850000.0,13.40271,0.73760533,95.67373,57.650238,55553710000.0,2.577,2.2143762
9,4755920000.0,4649781000.0,20567410000.0,4.375088,2.925577,123.35938,70.85625,29973113000.0,2.577,1.854615
10,5640466000.0,840096960.0,33180647000.0,8.138422,1.0459665,102.4653,62.279247,39664144000.0,2.577,1.872707
11,5486349300.0,588067500.0,33031821000.0,9.752429,0.6728622,93.320786,55.27045,39106236000.0,2.577,2.0119884
13,3973319000.0,564084860.0,33857184000.0,10.221858,0.58423185,90.54568,53.643425,38396800000.0,2.577,1.8088316
14,3943205600.0,2371140000.0,14427315000.0,3.747742,2.1231458,109.2302,64.36687,20744600000.0,2.577,2.1287313
15,3661822700.0,1199622700.0,15575294000.0,4.178663,1.7485057,102.68186,61.566116,20436740000.0,2.577,2.05907
16,3522188800.0,1228486800.0,12326017000.0,3.7434082,2.1943874,99.16108,61.378044,17078633000.0,2.577,1.8208765
17,1372421100.0,549975600.0,21531621000.0,6.0304985,0.7473671,91.79546,60.78379,23455953000.0,2.577,1.694985
18,738199200.0,196857860.0,21599685000.0,8.37782,0.20506744,76.892334,50.574978,22536194000.0,2.577,0.9467534
22,1251259400.0,195241230.0,13451763000.0,5.9277005,0.19690523,74.63052,44.833942,14898263000.0,2.577,1.8074762
23,1428498200.0,831879000.0,6676876300.0,2.910255,0.6921643,81.46492,50.452515,8937253000.0,2.577,1.3329399
24,1796039000.0,180918080.0,8541773000.0,5.1031747,0.27725562,66.79057,41.049232,10518730000.0,2.577,1.3633003
30,528803870.0,158927310.0,7252226000.0,5.964003,0.14019662,54.024532,34.35123,7939958000.0,2.577,1.8879099
31,781419600.0,279085540.0,5213998000.0,2.6956897,0.8055948,71.27187,44.886497,6274503000.0,2.577,1.2693987
36,588481860.0,143723460.0,5158187500.0,4.0676813,0.1510954,56.799454,35.96391,5890392600.0,2.577,1.8560908
42,377573060.0,123661624.0,3942147300.0,3.2064044,0.16119966,56.900494,36.895172,4443382000.0,2.577,1.8611349
5876,21473698000.0,11000668000.0,102096540000.0,7.911501,22.336283,196.63925,114.62873,134585890000.0,2.577,3.1416228
5877,15280511000.0,13208917000.0,90599514000.0,7.0470357,14.858585,225.90813,118.25873,119120560000.0,2.577,1.1024317
5879,10133206000.0,942039500.0,69227160000.0,14.006643,0.79089725,112.122086,68.07139,80302410000.0,2.577,2.7516928
5880,9558479000.0,2417732000.0,28886393000.0,5.8697014,6.496864,125.356804,73.26215,40865047000.0,2.577,2.2847714
5882,1715930000.0,251410050.0,16143838000.0,6.8927045,0.29066768,75.49141,45.20135,18111179000.0,2.577,1.9574838
5885,673592260.0,344334140.0,12672679000.0,4.7961993,0.3770615,78.77797,47.96345,13690605000.0,2.577,0.9755818
5888,1412398700.0,353433700.0,6885145600.0,3.109939,1.7066057,77.50716,51.03855,8652515000.0,2.577,1.56706
9442,50412847000.0,22040592000.0,230400110000.0,16.298069,24.295137,263.96533,124.546844,302907800000.0,2.577,1.2931374
9443,37979357000.0,10568496000.0,193661170000.0,17.318613,14.362573,198.40164,103.23538,242224870000.0,2.577,1.7506812
9444,29006184000.0,9620473000.0,133688630000.0,11.436328,11.770079,180.13109,111.40694,172324060000.0,2.577,2.4653742
9445,16811233000.0,2033806500.0,62821620000.0,11.403103,4.2380877,124.47204,73.17512,81669780000.0,2.577,2.492309
9446,13002504000.0,1672927500.0,59635876000.0,9.836165,2.6809254,127.586136,74.27754,74314060000.0,2.577,2.5742774
9447,9585790000.0,4044635600.0,31119733000.0,7.4604735,2.9883204,117.76262,67.285835,44756380000.0,2.577,2.063659
9448,12259105000.0,1043917600.0,36074643000.0,11.611487,3.3590865,97.82732,59.8661,49379217000.0,2.577,6.455574
9449,6743208000.0,706192300.0,44393173000.0,10.839597,1.348269,101.70954,62.816193,51842572000.0,2.577,1.5742773
9450,8815405000.0,324565860.0,29532529000.0,10.6508875,1.4193497,89.69168,54.770535,38672503000.0,2.577,5.5609193
9451,6534123000.0,522593100.0,29029777000.0,8.485518,0.80297595,95.75248,58.61617,36088267000.0,2.577,2.596561
9452,3900018400.0,831749060.0,26793718000.0,6.567302,1.8701346,102.05538,63.02814,31527037000.0,2.577,1.9499854
9453,4244557800.0,369071780.0,19143100000.0,7.496971,0.5066322,84.55315,51.282803,23758250000.0,2.577,1.9256665
9454,4077642500.0,457462340.0,17611252000.0,7.0858173,0.5601697,82.336975,48.779045,22148084000.0,2.577,1.8228943
9455,2700862200.0,775372540.0,7601157600.0,4.7689886,0.8459479,73.05911,40.74679,11077392000.0,2.577,2.059503
9458,1247988900.0,305452300.0,10804605000.0,5.231503,0.21906541,72.21708,44.49147,12358047000.0,2.577,1.3317435
9459,990262460.0,498641440.0,6709546000.0,3.5193117,0.98809403,71.08488,44.807976,8198450000.0,2.577,1.5458415
9460,1050232800.0,989318500.0,2255118800.0,0.87055904,2.7332177,103.549416,57.71131,4299624000.0,2.577,0.566783
9470,427569020.0,254213500.0,3631784700.0,2.0354009,0.33470252,67.68532,43.03947,4313567700.0,2.577,0.8751515
14523,124392300000.0,117375844000.0,1653340500000.0,41.902782,52.472595,961.8532,222.31342,1895475800000.0,2.577,0.30330455
14524,186940770000.0,40942840000.0,1319298700000.0,63.67503,37.621735,446.3988,152.0919,1547277800000.0,2.577,0.601519
14525,130205970000.0,23011484000.0,860700400000.0,42.779907,55.720432,315.72705,151.37024,1013951230000.0,2.577,0.695714
14526,50368780000.0,12411105000.0,220160400000.0,15.723204,28.719927,203.39476,128.32207,282961740000.0,2.577,1.4271483
14528,15750735000.0,4122476000.0,82691630000.0,9.505605,6.1878624,153.28677,94.472725,102568935000.0,2.577,1.9954357
14529,14120591000.0,1249946400.0,65433383000.0,13.950706,1.6220266,112.45704,68.996925,80806370000.0,2.577,2.7800033
