SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
762164,1951556700.0,791824640.0,59249275000.0,24.058039,0.034137424,80.60209,42.008057,61996440000.0,0.024,2.0443487
762174,3070255400.0,639890370.0,57321767000.0,30.816788,0.09860495,74.07031,38.185486,61031910000.0,0.024,1.2658757
762201,4627439600.0,663943800.0,49797288000.0,24.648087,0.176218,74.68539,38.597767,55088673000.0,0.024,1.6622729
762217,3986073900.0,562299600.0,51752485000.0,27.473877,0.13612123,73.052345,37.589058,56300855000.0,0.024,1.3023417
762261,5016069000.0,323727970.0,49868980000.0,28.094162,0.027150718,68.22615,36.22777,55208776000.0,0.024,1.4511895
762323,4487660500.0,265341090.0,49381660000.0,30.011267,0.08384879,66.594185,35.54251,54134660000.0,0.024,1.1793928
762390,2806846000.0,476567900.0,32515455000.0,20.770845,0.07896165,67.89311,34.468754,35798872000.0,0.024,1.4208453
762423,2799762000.0,2358771200.0,43492037000.0,15.742638,0.13770445,90.41794,44.66434,48659763000.0,0.024,2.6176739
762434,3663168800.0,931262700.0,49526403000.0,24.600515,0.18470849,75.56164,38.81038,54120833000.0,0.024,1.6039798
762490,4667437600.0,410368260.0,48050820000.0,24.396065,0.057042196,72.4214,37.684196,53128626000.0,0.024,1.6561166
762585,3812942800.0,300844640.0,48788156000.0,36.08921,0.08677885,62.636955,34.0688,52901945000.0,0.024,1.2731538
762731,3714491100.0,424230620.0,55223185000.0,27.873081,0.13685101,69.61982,38.43518,59361910000.0,0.024,0.99318075
762750,2755295700.0,678301760.0,57013220000.0,21.957478,0.08491176,79.82486,42.22517,60450660000.0,0.024,1.7258433
762817,3694883000.0,165744030.0,37957690000.0,34.99721,0.025286155,53.196712,28.996035,41818317000.0,0.024,0.676837
762881,3789174500.0,474777700.0,52193070000.0,30.55485,0.16546787,67.10248,35.923103,56457023000.0,0.024,1.0979236
763003,4036765400.0,425650400.0,46439567000.0,28.850552,0.12882304,65.35865,34.889473,50901987000.0,0.024,0.92764723
763029,3969231400.0,201501010.0,47925133000.0,32.08814,0.06437827,62.189667,33.894165,52095865000.0,0.024,1.2035339
763071,4738223000.0,319163870.0,48782260000.0,29.199099,0.0914585,66.874954,35.849236,53839647000.0,0.024,0.6957175
763103,3527998000.0,477260770.0,45710397000.0,25.62392,0.07988647,69.38862,35.988533,49715660000.0,0.024,1.3317742
763132,3825759700.0,968406100.0,47165110000.0,25.938562,0.18124332,71.698074,36.936466,51959280000.0,0.024,1.8725226
763159,4476320000.0,436057900.0,49669333000.0,26.612759,0.090539254,69.82553,36.79094,54581710000.0,0.024,1.7674779
763197,4359448000.0,585959230.0,48655213000.0,25.449482,0.1790701,75.54294,37.845985,53600616000.0,0.024,1.9111584
763220,3904654800.0,218217520.0,54494015000.0,31.60196,0.010133036,68.413025,36.23735,58616893000.0,0.024,1.0042768
763408,4018957000.0,670860100.0,51519710000.0,25.919725,0.1635816,76.76628,38.789917,56209527000.0,0.024,1.5287559
763428,3611719700.0,380991780.0,52718960000.0,32.7328,0.122020505,68.04468,35.561253,56711670000.0,0.024,1.1982708
