SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
362123,8828423000.0,506776800.0,58123080000.0,17.343563,0.51117307,92.19462,58.055363,67459707000.0,2.103,1.2224078
362195,9431458000.0,482774340.0,83986620000.0,19.749289,0.5144753,101.60114,63.438072,93902340000.0,2.103,1.7773852
362274,6401687000.0,184480240.0,50872214000.0,19.78324,0.18267666,79.19086,50.938656,57458380000.0,2.103,1.8772831
362275,1212305700.0,192834190.0,13806138000.0,6.8556695,0.100297585,69.19062,41.78375,15212538000.0,2.103,1.2585206
362336,11944457000.0,1811833100.0,63661056000.0,14.347651,1.6815544,113.75645,62.72335,77418810000.0,2.103,1.2404159
362374,8992444000.0,122400870.0,66374000000.0,20.218815,0.2679331,90.513504,59.04749,75488850000.0,2.103,9.44174
362453,11686662000.0,950842940.0,71163300000.0,16.95657,0.73889023,103.154655,60.260513,83803005000.0,2.103,2.4099066
362502,9154323000.0,587425340.0,65074020000.0,17.552486,0.36350593,95.79051,55.471645,74817380000.0,2.103,1.4037737
362582,9308872000.0,1039441340.0,80135220000.0,16.030243,0.78926986,110.24582,66.760254,90486680000.0,2.103,1.5015639
362627,9361044000.0,627686500.0,84742095000.0,20.774889,0.3767882,99.11419,61.219654,94733030000.0,2.103,1.4877305
362699,5118477000.0,259929820.0,50206114000.0,17.712597,0.18845654,87.25058,50.92983,55585750000.0,2.103,1.3105059
362815,10427494000.0,1065733250.0,76788390000.0,15.160432,0.83498526,112.118126,64.42381,88285140000.0,2.103,1.5689305
362863,1522857200.0,302664060.0,17260507000.0,6.421269,0.12581958,80.97277,48.057495,19087477000.0,2.103,1.9156497
362956,7338763000.0,274916930.0,82535090000.0,23.857758,0.12670586,93.39604,60.590218,90150380000.0,2.103,1.6444378
362957,1009613060.0,176757540.0,6355170300.0,3.6375108,0.19652954,68.17484,42.55087,7541541000.0,2.103,1.7725143
363005,12208527000.0,775301700.0,66849070000.0,17.213812,0.7422908,100.11462,56.933044,79834580000.0,2.103,2.8075902
363070,9085365000.0,364401500.0,83531960000.0,21.29354,0.32499015,97.77806,60.856064,92983190000.0,2.103,2.4220886
363280,8954451000.0,1265155700.0,86667354000.0,15.96065,0.5011336,115.65357,66.84027,96890700000.0,2.103,2.0356517
363307,9871363000.0,407385100.0,75206620000.0,20.986244,0.4095518,93.62896,60.34716,85487380000.0,2.103,2.0431058
363379,9215395000.0,612604860.0,66936648000.0,18.999851,0.42788345,93.90203,54.55744,76766020000.0,2.103,1.4807844
363465,8871930000.0,555969150.0,73244630000.0,20.862011,0.4130283,92.87264,56.51563,82674385000.0,2.103,1.207276
363541,8599371000.0,435949220.0,73341270000.0,21.212574,0.40482777,91.61035,57.319157,82378020000.0,2.103,1.079892
363666,9627647000.0,703477600.0,78382400000.0,19.419203,0.7523825,99.548386,62.62489,88714990000.0,2.103,1.427828
363750,8324817000.0,779165060.0,71298060000.0,17.066328,0.65355164,102.5778,58.48813,80403570000.0,2.103,1.9115402
363832,8384596500.0,923914560.0,84326015000.0,19.922619,0.450188,102.01302,61.78433,93637420000.0,2.103,0.9942706
363893,7178617300.0,357719140.0,77169530000.0,16.608507,0.27358726,104.939804,65.398506,84705870000.0,2.103,2.1623807
363895,158617010.0,127401940.0,1202427500.0,1.3100435,0.07352376,50.48458,33.319107,1489948400.0,2.103,0.7809839
363961,11590015000.0,800184640.0,67299643000.0,17.07704,0.6841657,100.63851,57.74427,79692100000.0,2.103,2.936472
364004,7232165000.0,606442000.0,97120756000.0,21.444086,0.2451731,104.42729,66.10435,104961170000.0,2.103,1.287648
364051,9922223000.0,1021354430.0,78804840000.0,16.561907,0.9195535,108.47742,63.066982,89750890000.0,2.103,2.6746843
364095,8145803000.0,448315140.0,75887250000.0,16.654533,0.47189847,106.70144,66.38405,84482834000.0,2.103,2.0546343
364155,6691434000.0,266473890.0,61803418000.0,19.867695,0.24184948,87.11861,55.23988,68762740000.0,2.103,1.6271905
364228,9143427000.0,530365060.0,83820540000.0,21.457552,0.49473694,96.90765,60.477005,93495820000.0,2.103,2.7441168
364403,6869808600.0,579432400.0,91833246000.0,20.831366,0.30447382,102.934166,67.40594,99284020000.0,2.103,3.0069518
364458,1710757600.0,188359140.0,23028530000.0,9.818592,0.13754748,73.9796,44.956646,24928922000.0,2.103,1.1150008
364548,10205401000.0,611984450.0,72906590000.0,19.958149,0.39624476,95.377815,56.56033,83725705000.0,2.103,1.4536561
364629,8142765000.0,465913060.0,63432364000.0,19.572304,0.4439116,90.461525,54.843967,72042360000.0,2.103,2.5139875
364719,6656659000.0,208384130.0,64068514000.0,20.913181,0.20480339,85.53271,52.950397,70934760000.0,2.103,4.195821
364887,2513402000.0,322788160.0,21924110000.0,7.58686,0.26913998,84.31788,49.103092,24760302000.0,2.103,1.6824603
364956,8067036000.0,799738500.0,73000970000.0,18.831234,0.5346503,96.7429,56.945156,81869280000.0,2.103,1.4542294
