,SubhaloID,$z$
0,1.0,1.036
1,3.0,1.036
2,5.0,1.036
3,6.0,1.036
4,8.0,1.036
5,10.0,1.036
6,12.0,1.036
7,13.0,1.036
8,16.0,1.036
9,17.0,1.036
10,25.0,1.036
11,27.0,1.036
12,31.0,1.036
13,41.0,1.036
14,49.0,1.036
15,56.0,1.036
16,59.0,1.036
17,60.0,1.036
18,176.0,1.036
19,24473.0,1.036
20,24474.0,1.036
21,24479.0,1.036
22,24480.0,1.036
23,24481.0,1.036
24,24500.0,1.036
25,24505.0,1.036
26,24507.0,1.036
27,24513.0,1.036
28,40779.0,1.036
29,40780.0,1.036
30,40781.0,1.036
31,40783.0,1.036
32,40792.0,1.036
33,40794.0,1.036
34,40795.0,1.036
35,40796.0,1.036
36,40797.0,1.036
37,40798.0,1.036
38,40801.0,1.036
39,40803.0,1.036
40,40907.0,1.036
41,54357.0,1.036
42,54358.0,1.036
43,54362.0,1.036
44,54364.0,1.036
45,54376.0,1.036
46,54384.0,1.036
47,54387.0,1.036
48,54394.0,1.036
49,68688.0,1.036
50,68691.0,1.036
51,68692.0,1.036
52,68694.0,1.036
53,68696.0,1.036
54,68698.0,1.036
55,68719.0,1.036
56,78032.0,1.036
57,78033.0,1.036
58,78039.0,1.036
59,78056.0,1.036
60,85607.0,1.036
61,85610.0,1.036
62,85611.0,1.036
63,85614.0,1.036
64,85616.0,1.036
65,85617.0,1.036
66,85619.0,1.036
67,85620.0,1.036
68,85621.0,1.036
69,85622.0,1.036
70,85623.0,1.036
71,85624.0,1.036
72,85625.0,1.036
73,85626.0,1.036
74,85627.0,1.036
75,85632.0,1.036
76,85634.0,1.036
77,85635.0,1.036
78,85638.0,1.036
79,85641.0,1.036
80,85651.0,1.036
81,85665.0,1.036
82,92648.0,1.036
83,92649.0,1.036
84,92650.0,1.036
85,92651.0,1.036
86,92654.0,1.036
87,92657.0,1.036
88,98669.0,1.036
89,98670.0,1.036
90,98671.0,1.036
91,98672.0,1.036
92,98673.0,1.036
93,98674.0,1.036
94,98682.0,1.036
95,98683.0,1.036
96,98685.0,1.036
97,98688.0,1.036
98,98693.0,1.036
99,103606.0,1.036
100,103607.0,1.036
101,103608.0,1.036
102,103610.0,1.036
103,103611.0,1.036
104,108150.0,1.036
105,108153.0,1.036
106,108155.0,1.036
107,108159.0,1.036
108,108160.0,1.036
109,108163.0,1.036
110,108166.0,1.036
111,112173.0,1.036
112,116354.0,1.036
113,116355.0,1.036
114,116360.0,1.036
115,120041.0,1.036
116,120042.0,1.036
117,120044.0,1.036
118,120045.0,1.036
119,120046.0,1.036
120,120051.0,1.036
121,120065.0,1.036
122,120072.0,1.036
123,123623.0,1.036
124,123624.0,1.036
125,123625.0,1.036
126,123627.0,1.036
127,123628.0,1.036
128,126908.0,1.036
129,126909.0,1.036
130,126910.0,1.036
131,126911.0,1.036
132,126912.0,1.036
133,126913.0,1.036
134,126915.0,1.036
135,130536.0,1.036
136,130537.0,1.036
137,130538.0,1.036
138,130540.0,1.036
139,130542.0,1.036
140,133619.0,1.036
141,133620.0,1.036
142,133621.0,1.036
143,133623.0,1.036
144,133624.0,1.036
145,133626.0,1.036
146,136704.0,1.036
147,136706.0,1.036
148,139556.0,1.036
149,141179.0,1.036
150,141182.0,1.036
151,144621.0,1.036
152,144622.0,1.036
153,144624.0,1.036
154,144625.0,1.036
155,144628.0,1.036
156,144629.0,1.036
157,144630.0,1.036
158,144632.0,1.036
159,144639.0,1.036
160,147150.0,1.036
161,147151.0,1.036
162,147152.0,1.036
163,147153.0,1.036
164,147155.0,1.036
165,147156.0,1.036
166,147160.0,1.036
167,147161.0,1.036
168,147162.0,1.036
169,147164.0,1.036
170,147165.0,1.036
171,147166.0,1.036
172,147168.0,1.036
173,147170.0,1.036
174,149575.0,1.036
175,149576.0,1.036
176,149577.0,1.036
177,149578.0,1.036
178,149579.0,1.036
179,149583.0,1.036
180,149586.0,1.036
181,151763.0,1.036
182,151764.0,1.036
183,151769.0,1.036
184,154254.0,1.036
185,154255.0,1.036
186,154256.0,1.036
187,154257.0,1.036
188,154258.0,1.036
189,154260.0,1.036
190,154261.0,1.036
191,154269.0,1.036
192,156350.0,1.036
193,156352.0,1.036
194,156353.0,1.036
195,156360.0,1.036
196,158817.0,1.036
197,158818.0,1.036
198,158819.0,1.036
199,158820.0,1.036
200,158821.0,1.036
201,158823.0,1.036
202,158824.0,1.036
203,161261.0,1.036
204,161263.0,1.036
205,161264.0,1.036
206,161265.0,1.036
207,162803.0,1.036
208,162804.0,1.036
209,162808.0,1.036
210,165050.0,1.036
211,165052.0,1.036
212,165053.0,1.036
213,165056.0,1.036
214,167257.0,1.036
215,167259.0,1.036
216,167261.0,1.036
217,167262.0,1.036
218,167263.0,1.036
219,169420.0,1.036
220,169421.0,1.036
221,169423.0,1.036
222,171125.0,1.036
223,171127.0,1.036
224,172335.0,1.036
225,172336.0,1.036
226,174642.0,1.036
227,174644.0,1.036
228,174645.0,1.036
229,174646.0,1.036
230,174647.0,1.036
231,174648.0,1.036
232,174650.0,1.036
233,176332.0,1.036
234,176333.0,1.036
235,176334.0,1.036
236,176335.0,1.036
237,176338.0,1.036
238,176341.0,1.036
239,176342.0,1.036
240,176343.0,1.036
241,178180.0,1.036
242,178182.0,1.036
243,178185.0,1.036
244,179809.0,1.036
245,179811.0,1.036
246,179812.0,1.036
247,181287.0,1.036
248,181288.0,1.036
249,181289.0,1.036
250,181290.0,1.036
251,181291.0,1.036
252,182663.0,1.036
253,184430.0,1.036
254,184432.0,1.036
255,185713.0,1.036
256,185714.0,1.036
257,185715.0,1.036
258,185716.0,1.036
259,185717.0,1.036
260,185718.0,1.036
261,185724.0,1.036
262,187035.0,1.036
263,187036.0,1.036
264,187037.0,1.036
265,187038.0,1.036
266,187039.0,1.036
267,187040.0,1.036
268,188068.0,1.036
269,188069.0,1.036
270,188071.0,1.036
271,189266.0,1.036
272,189267.0,1.036
273,189268.0,1.036
274,189270.0,1.036
275,189271.0,1.036
276,190747.0,1.036
277,190748.0,1.036
