,SubhaloID,$z$
0,0.0,2.444
1,1.0,2.444
2,2.0,2.444
3,3.0,2.444
4,4.0,2.444
5,5.0,2.444
6,6.0,2.444
7,7.0,2.444
8,8.0,2.444
9,9.0,2.444
10,10.0,2.444
11,11.0,2.444
12,12.0,2.444
13,13.0,2.444
14,14.0,2.444
15,15.0,2.444
16,16.0,2.444
17,17.0,2.444
18,18.0,2.444
19,19.0,2.444
20,20.0,2.444
21,21.0,2.444
22,22.0,2.444
23,23.0,2.444
24,25.0,2.444
25,26.0,2.444
26,27.0,2.444
27,28.0,2.444
28,29.0,2.444
29,35.0,2.444
30,37.0,2.444
31,44.0,2.444
32,7534.0,2.444
33,7535.0,2.444
34,7536.0,2.444
35,7537.0,2.444
36,7538.0,2.444
37,7539.0,2.444
38,7540.0,2.444
39,7541.0,2.444
40,7542.0,2.444
41,7543.0,2.444
42,7545.0,2.444
43,7548.0,2.444
44,7555.0,2.444
45,7557.0,2.444
46,13021.0,2.444
47,13023.0,2.444
48,13024.0,2.444
49,13025.0,2.444
50,13026.0,2.444
51,13027.0,2.444
52,13028.0,2.444
53,13029.0,2.444
54,13030.0,2.444
55,13031.0,2.444
56,13032.0,2.444
57,13034.0,2.444
58,13035.0,2.444
59,13036.0,2.444
60,13038.0,2.444
61,13041.0,2.444
62,13064.0,2.444
63,13072.0,2.444
64,18316.0,2.444
65,18318.0,2.444
66,18319.0,2.444
67,18320.0,2.444
68,18322.0,2.444
69,21038.0,2.444
70,21040.0,2.444
71,21041.0,2.444
72,21042.0,2.444
73,21043.0,2.444
74,21044.0,2.444
75,21045.0,2.444
76,21046.0,2.444
77,21047.0,2.444
78,21048.0,2.444
79,21049.0,2.444
80,21052.0,2.444
81,21053.0,2.444
82,21055.0,2.444
83,21056.0,2.444
84,21058.0,2.444
85,21059.0,2.444
86,21062.0,2.444
87,21065.0,2.444
88,24281.0,2.444
89,24282.0,2.444
90,24283.0,2.444
91,24284.0,2.444
92,24285.0,2.444
93,24286.0,2.444
94,24287.0,2.444
95,24288.0,2.444
96,24289.0,2.444
97,24290.0,2.444
98,24291.0,2.444
99,24295.0,2.444
100,26866.0,2.444
101,26867.0,2.444
102,26868.0,2.444
103,26869.0,2.444
104,26870.0,2.444
105,26871.0,2.444
106,26872.0,2.444
