,SubhaloID,$z$
0,2.0,0.44
1,3.0,0.44
2,9.0,0.44
3,13.0,0.44
4,22.0,0.44
5,30.0,0.44
6,33.0,0.44
7,41.0,0.44
8,42.0,0.44
9,46.0,0.44
10,59.0,0.44
11,60.0,0.44
12,64.0,0.44
13,66.0,0.44
14,67.0,0.44
15,75.0,0.44
16,78.0,0.44
17,79.0,0.44
18,80.0,0.44
19,84.0,0.44
20,91.0,0.44
21,102.0,0.44
22,105.0,0.44
23,113.0,0.44
24,116.0,0.44
25,126.0,0.44
26,129.0,0.44
27,131.0,0.44
28,136.0,0.44
29,143.0,0.44
30,163.0,0.44
31,53030.0,0.44
32,53031.0,0.44
33,53034.0,0.44
34,53042.0,0.44
35,53048.0,0.44
36,53050.0,0.44
37,53058.0,0.44
38,53062.0,0.44
39,53063.0,0.44
40,53065.0,0.44
41,53067.0,0.44
42,53068.0,0.44
43,53071.0,0.44
44,53072.0,0.44
45,53073.0,0.44
46,53074.0,0.44
47,53077.0,0.44
48,53090.0,0.44
49,53097.0,0.44
50,76437.0,0.44
51,76441.0,0.44
52,76446.0,0.44
53,76447.0,0.44
54,76449.0,0.44
55,76453.0,0.44
56,76456.0,0.44
57,76459.0,0.44
58,76468.0,0.44
59,76471.0,0.44
60,76474.0,0.44
61,76477.0,0.44
62,76481.0,0.44
63,76495.0,0.44
64,91488.0,0.44
65,91491.0,0.44
66,91492.0,0.44
67,91493.0,0.44
68,91494.0,0.44
69,91500.0,0.44
70,91501.0,0.44
71,91502.0,0.44
72,91504.0,0.44
73,91505.0,0.44
74,91506.0,0.44
75,91507.0,0.44
76,91508.0,0.44
77,91509.0,0.44
78,91512.0,0.44
79,91513.0,0.44
80,91517.0,0.44
81,91518.0,0.44
82,91521.0,0.44
83,91522.0,0.44
84,91523.0,0.44
85,91525.0,0.44
86,91527.0,0.44
87,91528.0,0.44
88,91530.0,0.44
89,91533.0,0.44
90,91535.0,0.44
91,91539.0,0.44
92,91542.0,0.44
93,91545.0,0.44
94,91546.0,0.44
95,91548.0,0.44
96,91557.0,0.44
97,91559.0,0.44
98,91570.0,0.44
99,91598.0,0.44
100,106607.0,0.44
101,106609.0,0.44
102,106611.0,0.44
103,106616.0,0.44
104,106620.0,0.44
105,106621.0,0.44
106,106622.0,0.44
107,106626.0,0.44
108,106627.0,0.44
109,106628.0,0.44
110,106631.0,0.44
111,106633.0,0.44
112,118273.0,0.44
113,118274.0,0.44
114,118275.0,0.44
115,118277.0,0.44
116,118278.0,0.44
117,118279.0,0.44
118,118281.0,0.44
119,118282.0,0.44
120,118283.0,0.44
121,118284.0,0.44
122,118286.0,0.44
123,118287.0,0.44
124,118288.0,0.44
125,118289.0,0.44
126,118290.0,0.44
127,118291.0,0.44
128,118292.0,0.44
129,118294.0,0.44
130,118295.0,0.44
131,118296.0,0.44
132,118298.0,0.44
133,118300.0,0.44
134,118302.0,0.44
135,118303.0,0.44
136,118305.0,0.44
137,118314.0,0.44
138,118319.0,0.44
139,131470.0,0.44
140,131477.0,0.44
141,131478.0,0.44
142,131479.0,0.44
143,131480.0,0.44
144,131481.0,0.44
145,131484.0,0.44
146,131486.0,0.44
147,131488.0,0.44
148,131491.0,0.44
149,141663.0,0.44
150,141665.0,0.44
151,141666.0,0.44
152,141668.0,0.44
153,141669.0,0.44
154,141671.0,0.44
155,141672.0,0.44
156,141675.0,0.44
157,148613.0,0.44
158,148614.0,0.44
159,148615.0,0.44
160,148616.0,0.44
161,148618.0,0.44
162,148621.0,0.44
163,148622.0,0.44
164,148623.0,0.44
165,148625.0,0.44
166,148628.0,0.44
167,148629.0,0.44
168,148632.0,0.44
169,148635.0,0.44
170,156931.0,0.44
171,156932.0,0.44
172,156933.0,0.44
173,156934.0,0.44
174,156935.0,0.44
175,156936.0,0.44
176,156938.0,0.44
177,156943.0,0.44
178,156944.0,0.44
179,156945.0,0.44
180,156946.0,0.44
181,156949.0,0.44
182,156951.0,0.44
183,156952.0,0.44
184,156953.0,0.44
185,156958.0,0.44
