,SubhaloID,$z$
0,8.0,0.0
1,11.0,0.0
2,17.0,0.0
3,20.0,0.0
4,37.0,0.0
5,44.0,0.0
6,45.0,0.0
7,48.0,0.0
8,53.0,0.0
9,56.0,0.0
10,57.0,0.0
11,63.0,0.0
12,69.0,0.0
13,81.0,0.0
14,83.0,0.0
15,85.0,0.0
16,88.0,0.0
17,99.0,0.0
18,119.0,0.0
19,141.0,0.0
20,154.0,0.0
21,202.0,0.0
22,63865.0,0.0
23,63867.0,0.0
24,63868.0,0.0
25,63869.0,0.0
26,63871.0,0.0
27,63872.0,0.0
28,63877.0,0.0
29,63881.0,0.0
30,63888.0,0.0
31,63889.0,0.0
32,63890.0,0.0
33,63892.0,0.0
34,63894.0,0.0
35,63895.0,0.0
36,63903.0,0.0
37,63909.0,0.0
38,63943.0,0.0
39,63958.0,0.0
40,96765.0,0.0
41,96773.0,0.0
42,96784.0,0.0
43,96786.0,0.0
44,96787.0,0.0
45,96794.0,0.0
46,96803.0,0.0
47,96818.0,0.0
48,96821.0,0.0
49,117255.0,0.0
50,117256.0,0.0
51,117257.0,0.0
52,117258.0,0.0
53,117263.0,0.0
54,117264.0,0.0
55,117265.0,0.0
56,117266.0,0.0
57,117267.0,0.0
58,117268.0,0.0
59,117269.0,0.0
60,117270.0,0.0
61,117272.0,0.0
62,117276.0,0.0
63,117278.0,0.0
64,117279.0,0.0
65,117280.0,0.0
66,117283.0,0.0
67,117285.0,0.0
68,117289.0,0.0
69,117291.0,0.0
70,117295.0,0.0
71,117297.0,0.0
72,117298.0,0.0
73,117313.0,0.0
74,117321.0,0.0
75,117327.0,0.0
76,143880.0,0.0
77,143881.0,0.0
78,143882.0,0.0
79,143884.0,0.0
80,143885.0,0.0
81,143886.0,0.0
82,143887.0,0.0
83,143889.0,0.0
84,143890.0,0.0
85,143894.0,0.0
86,143896.0,0.0
87,143897.0,0.0
88,143898.0,0.0
89,143909.0,0.0
90,143911.0,0.0
91,143915.0,0.0
92,143938.0,0.0
93,143968.0,0.0
94,167393.0,0.0
95,167394.0,0.0
96,167395.0,0.0
97,167396.0,0.0
98,167397.0,0.0
99,167399.0,0.0
100,167403.0,0.0
101,167404.0,0.0
102,167405.0,0.0
103,167411.0,0.0
104,167414.0,0.0
105,167416.0,0.0
106,167419.0,0.0
107,167425.0,0.0
108,167429.0,0.0
109,167435.0,0.0
110,167442.0,0.0
111,184933.0,0.0
112,184938.0,0.0
113,184940.0,0.0
114,184941.0,0.0
115,184950.0,0.0
116,184959.0,0.0
117,184964.0,0.0
118,184984.0,0.0
119,198184.0,0.0
120,198185.0,0.0
121,198189.0,0.0
122,198201.0,0.0
123,198216.0,0.0
124,208812.0,0.0
125,208814.0,0.0
126,208816.0,0.0
127,208818.0,0.0
128,208820.0,0.0
129,208822.0,0.0
130,208825.0,0.0
131,208831.0,0.0
132,220597.0,0.0
133,220599.0,0.0
134,220600.0,0.0
135,220601.0,0.0
136,220608.0,0.0
137,220611.0,0.0
138,220615.0,0.0
139,229935.0,0.0
140,229939.0,0.0
141,229941.0,0.0
142,229943.0,0.0
143,229945.0,0.0
144,229947.0,0.0
145,229953.0,0.0
146,229956.0,0.0
147,229964.0,0.0
148,242790.0,0.0
149,242791.0,0.0
150,242793.0,0.0
151,242801.0,0.0
152,242804.0,0.0
153,242810.0,0.0
154,242830.0,0.0
155,242891.0,0.0
156,253862.0,0.0
157,253868.0,0.0
158,253876.0,0.0
159,253877.0,0.0
160,253878.0,0.0
161,253882.0,0.0
162,264883.0,0.0
163,264884.0,0.0
164,264886.0,0.0
165,264887.0,0.0
166,264888.0,0.0
167,264890.0,0.0
168,264894.0,0.0
169,264895.0,0.0
170,264898.0,0.0
171,264899.0,0.0
172,275547.0,0.0
173,275548.0,0.0
174,275554.0,0.0
175,275559.0,0.0
176,282782.0,0.0
177,282784.0,0.0
178,282785.0,0.0
179,282786.0,0.0
180,282792.0,0.0
181,282793.0,0.0
182,282795.0,0.0
183,282796.0,0.0
184,282799.0,0.0
185,289386.0,0.0
186,289391.0,0.0
187,289395.0,0.0
188,289396.0,0.0
189,289400.0,0.0
190,294867.0,0.0
191,294876.0,0.0
192,294877.0,0.0
193,294880.0,0.0
194,294886.0,0.0
195,300904.0,0.0
196,300905.0,0.0
197,300906.0,0.0
198,307486.0,0.0
199,307487.0,0.0
200,307488.0,0.0
201,307489.0,0.0
202,307491.0,0.0
203,307500.0,0.0
204,307504.0,0.0
205,313695.0,0.0
206,313697.0,0.0
207,313699.0,0.0
208,313704.0,0.0
209,319731.0,0.0
210,319733.0,0.0
211,324123.0,0.0
212,324124.0,0.0
213,324128.0,0.0
214,324130.0,0.0
215,329509.0,0.0
216,329511.0,0.0
217,329512.0,0.0
218,333424.0,0.0
219,333425.0,0.0
220,333427.0,0.0
221,333429.0,0.0
222,333430.0,0.0
223,333431.0,0.0
224,333436.0,0.0
225,333439.0,0.0
226,333441.0,0.0
227,338450.0,0.0
228,338452.0,0.0
229,338458.0,0.0
230,338463.0,0.0
231,342446.0,0.0
232,342447.0,0.0
233,342448.0,0.0
234,342449.0,0.0
235,342450.0,0.0
236,342452.0,0.0
237,342454.0,0.0
238,342460.0,0.0
239,342461.0,0.0
240,345874.0,0.0
241,345876.0,0.0
242,345878.0,0.0
243,348901.0,0.0
244,348902.0,0.0
245,348903.0,0.0
246,348905.0,0.0
247,348906.0,0.0
248,348907.0,0.0
249,352426.0,0.0
250,352429.0,0.0
251,355726.0,0.0
252,355728.0,0.0
253,355731.0,0.0
254,358608.0,0.0
255,358612.0,0.0
256,360923.0,0.0
257,360924.0,0.0
258,360926.0,0.0
259,360929.0,0.0
260,362995.0,0.0
261,362997.0,0.0
262,368843.0,0.0
263,368844.0,0.0
264,368846.0,0.0
265,368849.0,0.0
266,368855.0,0.0
267,371126.0,0.0
268,371127.0,0.0
269,371129.0,0.0
270,372754.0,0.0
271,372755.0,0.0
272,375073.0,0.0
273,375074.0,0.0
274,375076.0,0.0
275,375079.0,0.0
276,382215.0,0.0
277,382217.0,0.0
278,382218.0,0.0
279,383975.0,0.0
280,383976.0,0.0
281,383977.0,0.0
282,383978.0,0.0
283,383979.0,0.0
284,383980.0,0.0
285,383981.0,0.0
286,386275.0,0.0
287,388544.0,0.0
288,388546.0,0.0
289,388547.0,0.0
290,388548.0,0.0
291,390934.0,0.0
292,392277.0,0.0
293,392279.0,0.0
294,392280.0,0.0
295,394621.0,0.0
296,394622.0,0.0
297,394624.0,0.0
298,394625.0,0.0
299,394629.0,0.0
300,396629.0,0.0
301,396630.0,0.0
302,396633.0,0.0
303,398784.0,0.0
304,398785.0,0.0
305,398787.0,0.0
306,398790.0,0.0
307,400974.0,0.0
308,400975.0,0.0
309,402555.0,0.0
310,402557.0,0.0
