,SubhaloID,$z$
0,0.0,2.896
1,1.0,2.896
2,2.0,2.896
3,3.0,2.896
4,4.0,2.896
5,5.0,2.896
6,6.0,2.896
7,7.0,2.896
8,8.0,2.896
9,9.0,2.896
10,10.0,2.896
11,11.0,2.896
12,12.0,2.896
13,18.0,2.896
14,4037.0,2.896
15,4038.0,2.896
16,4039.0,2.896
17,4040.0,2.896
18,4041.0,2.896
19,4042.0,2.896
20,4043.0,2.896
21,4044.0,2.896
22,4045.0,2.896
23,4046.0,2.896
24,4047.0,2.896
25,4049.0,2.896
26,4052.0,2.896
27,4053.0,2.896
28,4054.0,2.896
29,4057.0,2.896
30,4061.0,2.896
31,4062.0,2.896
32,8988.0,2.896
33,8989.0,2.896
34,8990.0,2.896
35,8991.0,2.896
36,8992.0,2.896
37,8996.0,2.896
38,8997.0,2.896
39,8998.0,2.896
40,8999.0,2.896
41,9000.0,2.896
42,9001.0,2.896
43,9002.0,2.896
44,9014.0,2.896
45,9019.0,2.896
46,9023.0,2.896
47,13642.0,2.896
48,13643.0,2.896
49,13644.0,2.896
50,13645.0,2.896
51,13647.0,2.896
52,15630.0,2.896
53,15631.0,2.896
54,15632.0,2.896
55,15633.0,2.896
56,17666.0,2.896
57,17667.0,2.896
58,17668.0,2.896
59,17669.0,2.896
60,17670.0,2.896
61,17671.0,2.896
62,19578.0,2.896
63,19580.0,2.896
64,19581.0,2.896
65,19582.0,2.896
66,19583.0,2.896
67,19584.0,2.896
68,19585.0,2.896
69,19592.0,2.896
70,21273.0,2.896
71,21274.0,2.896
72,21276.0,2.896
73,21277.0,2.896
74,21278.0,2.896
75,22774.0,2.896
76,22775.0,2.896
77,22776.0,2.896
78,22777.0,2.896
79,22779.0,2.896
80,22780.0,2.896
81,22781.0,2.896
82,22782.0,2.896
83,22783.0,2.896
84,22784.0,2.896
85,24482.0,2.896
86,24483.0,2.896
87,24484.0,2.896
88,24485.0,2.896
89,24486.0,2.896
90,24487.0,2.896
91,24488.0,2.896
92,24489.0,2.896
93,24491.0,2.896
94,24492.0,2.896
95,24495.0,2.896
96,24498.0,2.896
97,24504.0,2.896
98,26633.0,2.896
99,26634.0,2.896
100,26635.0,2.896
101,26636.0,2.896
102,26637.0,2.896
103,26638.0,2.896
104,26639.0,2.896
105,26640.0,2.896
106,26641.0,2.896
107,26642.0,2.896
108,26644.0,2.896
109,26646.0,2.896
110,26647.0,2.896
111,26650.0,2.896
112,28636.0,2.896
113,28639.0,2.896
114,29471.0,2.896
115,29473.0,2.896
116,29475.0,2.896
117,29476.0,2.896
118,29477.0,2.896
119,29478.0,2.896
120,29481.0,2.896
121,30786.0,2.896
122,30787.0,2.896
123,30788.0,2.896
124,30789.0,2.896
125,32023.0,2.896
126,32024.0,2.896
127,32026.0,2.896
128,33197.0,2.896
129,33198.0,2.896
130,33199.0,2.896
131,33200.0,2.896
132,33201.0,2.896
133,33202.0,2.896
134,33206.0,2.896
135,34423.0,2.896
136,34424.0,2.896
137,34425.0,2.896
138,34426.0,2.896
139,34427.0,2.896
140,34430.0,2.896
141,35262.0,2.896
142,36056.0,2.896
143,36057.0,2.896
144,36058.0,2.896
145,36059.0,2.896
146,36060.0,2.896
147,36061.0,2.896
148,36063.0,2.896
149,37535.0,2.896
150,37536.0,2.896
151,37537.0,2.896
152,37538.0,2.896
153,37539.0,2.896
154,37540.0,2.896
155,38566.0,2.896
156,38568.0,2.896
157,39495.0,2.896
158,39500.0,2.896
159,40303.0,2.896
160,40304.0,2.896
161,40305.0,2.896
162,40306.0,2.896
163,40307.0,2.896
164,40308.0,2.896
165,40310.0,2.896
166,40311.0,2.896
167,41383.0,2.896
168,41384.0,2.896
169,41385.0,2.896
170,41386.0,2.896
171,41387.0,2.896
172,41388.0,2.896
173,42331.0,2.896
174,42332.0,2.896
175,42333.0,2.896
176,42950.0,2.896
177,42951.0,2.896
178,42952.0,2.896
179,42956.0,2.896
180,43710.0,2.896
181,43711.0,2.896
182,43712.0,2.896
183,43713.0,2.896
184,43719.0,2.896
185,44481.0,2.896
186,44482.0,2.896
187,44484.0,2.896
188,45212.0,2.896
189,45213.0,2.896
190,45818.0,2.896
191,45819.0,2.896
192,45820.0,2.896
193,45821.0,2.896
194,46552.0,2.896
195,46553.0,2.896
196,46554.0,2.896
197,47334.0,2.896
198,47335.0,2.896
199,47336.0,2.896
200,47337.0,2.896
201,47338.0,2.896
202,47340.0,2.896
203,48147.0,2.896
204,48148.0,2.896
205,48149.0,2.896
206,48150.0,2.896
207,48151.0,2.896
208,48991.0,2.896
209,48992.0,2.896
210,48994.0,2.896
211,49670.0,2.896
212,49671.0,2.896
213,49672.0,2.896
214,50518.0,2.896
215,50519.0,2.896
216,50520.0,2.896
217,50522.0,2.896
218,51186.0,2.896
219,51187.0,2.896
220,51188.0,2.896
221,51190.0,2.896
222,51758.0,2.896
223,51759.0,2.896
224,51760.0,2.896
225,51761.0,2.896
226,51762.0,2.896
227,51763.0,2.896
228,51767.0,2.896
229,51771.0,2.896
230,52592.0,2.896
231,53321.0,2.896
232,53322.0,2.896
233,53323.0,2.896
234,53324.0,2.896
235,53325.0,2.896
236,54042.0,2.896
237,54684.0,2.896
238,55050.0,2.896
239,55530.0,2.896
240,55531.0,2.896
241,55532.0,2.896
242,55534.0,2.896
243,55535.0,2.896
244,55537.0,2.896
245,56118.0,2.896
246,56119.0,2.896
247,56786.0,2.896
248,56787.0,2.896
249,57360.0,2.896
250,57361.0,2.896
251,57362.0,2.896
252,57363.0,2.896
253,57364.0,2.896
254,57366.0,2.896
255,57994.0,2.896
256,57995.0,2.896
257,58523.0,2.896
258,58524.0,2.896
259,59136.0,2.896
260,59137.0,2.896
261,59563.0,2.896
262,59564.0,2.896
263,60075.0,2.896
264,60076.0,2.896
265,60505.0,2.896
266,60506.0,2.896
267,60507.0,2.896
268,61033.0,2.896
269,61034.0,2.896
270,61035.0,2.896
271,61036.0,2.896
272,61545.0,2.896
273,61547.0,2.896
